smiles,pIC50
CNc1ccc(-c2nc3ccc(O)cc3s2)cn1,7.657577319
C[C@@]1(c2cc(NC(=O)c3ccc(Br)cn3)ccc2F)CO[C@@](C)(C(F)(F)F)C(N)=N1,7.657577319
COc1ccc(CC(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)cc1OC,7.647046088
COCCOc1cnc(C(=O)Nc2ccc(F)c([C@]3(C)CO[C@@](C)(C(F)(F)F)C(N)=N3)n2)c(N)n1,7.638272164
CC1=NC2(N=C1N)c1cc(-c3cc(F)cc(C#N)c3)ccc1CCC21CC1,7.638272164
CNc1ccc(-c2nc3ccc(F)nc3o2)cc1,7.63638802
O=S(=O)(N1CC[C@]2(CCC[C@@]3(S(=O)(=O)c4ccc(Cl)cc4)c4c(F)ccc(F)c4OC[C@@H]23)C1)C(F)(F)F,7.632644079
C[C@@]1(c2nc(NC(=O)c3ncc(OC(F)F)cc3Cl)ccc2F)CO[C@@](C)(C(F)(F)F)C(N)=N1,7.619788758
CNc1ccc(-c2nc3ccc(O)cc3s2)cc1F,7.619788758
C[C@@]1(c2cc(NC(=O)c3ncc(C#N)cn3)ccc2F)CO[C@@](C)(C(F)(F)F)C(N)=N1,7.619788758
CNc1ccc(-c2cc3cc(O)ccc3o2)c(F)n1,7.619788758
CC[C@@H]1CCC[C@H](C2(OC(=O)N3CC4CCC(C3)N4CCO)CC2)N1S(=O)(=O)c1ccc(F)cc1,7.602059991
O=C(C[C@@H]1CC[C@@]2(S(=O)(=O)c3ccc(C(F)(F)F)cc3)c3c(F)ccc(F)c3OC[C@H]2C1)NCC(F)(F)F,7.602059991
Fc1ccc2nc(-c3cnc4[nH]ccc4c3)oc2n1,7.590066877
C[C@@]1(c2nc(NC(=O)c3ncc(C(F)(F)F)nc3N)ccc2F)CO[C@@](C)(C(F)(F)F)C(N)=N1,7.585026652
O=S(=O)(c1ccc(Cl)cc1)[C@@]12CCCC3(CCSCC3)[C@@H]1COc1c(F)ccc(F)c12,7.578396073
C[C@]1(c2nc(NC(=O)c3ncc(C(F)(F)F)cc3Cl)ccc2F)N=C(N)OCC1(F)F,7.568636236
[3H]N(c1ccc(-c2nc3ccc(O)cc3s2)cc1)C([3H])([3H])[3H],7.568636236
CC[C@@H]1CCC[C@H](C2(OC(=O)N3CC4CCC(C3)N4CCO)CC2)N1S(=O)(=O)c1ccc(F)c(F)c1,7.568636236
O=S(=O)(N[C@@H]1CC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@H]2C1)C(F)(F)F,7.568636236
O=C(OC1([C@H]2CCC[C@@H](C3CC3)N2S(=O)(=O)c2ccc(Cl)cc2)CC1)N1CCN(CCO)CC1,7.568636236
CCCC1(O)CCN(C(=O)OC2([C@H]3CCC[C@@H](CC)N3S(=O)(=O)c3ccc(Cl)cc3)CC2)C1,7.552841969
CC[C@@H]1CCC[C@H](C2(OC(=O)N3CCC(N4CCCCC4)CC3)CC2)N1S(=O)(=O)c1cc(F)cc(F)c1,7.537602002
O=S(=O)(N[C@@H]1CC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@]2(O)C1)C1CC1,7.537602002
CNc1ncc(-c2cc3cc(O)ccc3o2)cc1F,7.522878745
C[C@]1(c2nc(NC(=O)c3ncc(OCF)nc3N)ccc2F)N=C(N)OCC1(F)F,7.522878745
C[C@@]1(c2nc(NC(=O)c3ncc(C(F)(F)F)cc3N)ccc2F)CO[C@@](C)(C(F)(F)F)C(N)=N1,7.522878745
Cn1ncc2cc(-c3nc4ccc(F)nc4o3)cnc21,7.519993057
COc1cc(C(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)cc(OC)c1OC,7.512296137
COc1cc(/C=c2\sc3nc(-c4ccc(Cl)cc4)cn3c2=O)cc(Cl)c1O,7.494850022
C[C@@]1(c2cccc(NC(=O)c3ccc(Br)cn3)c2)CO[C@@](C)(C(F)(F)F)C(N)=N1,7.494850022
COc1ccc2oc(-c3ccc(C(N)=O)nc3F)cc2c1,7.494850022
CNc1ccc(-c2cc3cc(C(N)=O)ccc3o2)nc1F,7.494850022
COc1cc(/C=c2\sc3nc(-c4ccncc4C)cn3c2=O)cc(OC)c1O,7.494850022
COc1ccc(-c2nc3ccc(F)nc3o2)cc1,7.488116639
Oc1ccc2nc(-c3ccc(NCCF)nc3)sc2c1,7.48148606
COc1ccc2cc(-c3ccc(C(N)=O)cn3)oc2c1,7.48148606
CNc1ccc(-c2cc3cc(O)ccc3o2)nc1F,7.455931956
CNc1ccc2nc(-c3ccc(C(N)=O)nc3)sc2c1,7.455931956
COc1ccc2nc(-c3ccc(NCCF)nc3)oc2c1,7.455931956
Fc1ccc2nc(-c3ccc4ncsc4c3)oc2n1,7.446116973
COc1cc(C(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)ccc1O,7.427593132
O=C(COC(=O)Cc1c[nH]c2ccccc12)Nc1c2c(nc3ccccc13)CCCC2,7.409381052
CN(C)c1ncc(-c2nc3ccc(O)cc3s2)cn1,7.387216143
CN(C)c1ccc(-c2nc3ccc(F)nc3o2)cn1,7.378823718
CNc1ccc(-c2nc3ccc(O)cc3s2)nc1F,7.356547324
NC(=O)c1ccc(-c2cc3cc(O)ccc3o2)c(F)n1,7.356547324
C[C@]1(c2nc(NC(=O)c3ncc(Cl)cc3N)ccc2F)N=C(N)OCC1(F)F,7.346787486
CNc1ccc(-c2cc3ccc(O)cc3o2)cn1,7.346787486
O=C(COC(=O)Cc1ccc(O)cc1)Nc1c2c(nc3ccccc13)CCCC2,7.343997679
Fc1ccc2nc(-c3ccc4cc[nH]c4c3)oc2n1,7.343901798
COc1cc(/C=C/C(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)cc(OC)c1OC,7.338376591
O=C(OC1([C@H]2CCC[C@@H](C3CC3)N2S(=O)(=O)c2ccc(Cl)cc2)CC1)N1CC[C@@H](O)C1,7.337242168
COc1ccc(/C=C/C(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)cc1O,7.336110701
CCC[C@@H]1CCC[C@H](C2(OC(=O)N3CC[C@@H](O)C3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,7.327902142
CN1CCc2cc(-c3nc4ccc(F)nc4o3)cnc21,7.327902142
Cn1ncc2cc(-c3nc4ccc(F)nc4o3)ccc21,7.312471039
COCC[C@]1(c2nc(NC(=O)c3ncc(C#N)cc3C)ccc2F)N=C(N)OCC1(F)F,7.30980392
